YEAR/MONTH,RAINFALL_KONKAN & GOA,RAINFALL_MADHYA MAHARASHTRA,RAINFALL_MARATHVADA,RAINFALL_VIDHARBA,RAINFALL_CHHATTISGARH
Oct-47,50.8,23,13.6,25.9,80
Nov-47,2,10.3,2.1,0.3,4.5
Dec-47,2.9,14.6,8.6,11.8,15.6
Jan-48,10.5,16.9,7.9,48.9,31
Feb-48,0,0.7,2.2,9.4,8
Mar-48,0.2,4.3,4.1,7,14.2
Apr-48,2.3,7.6,3.3,3.9,21.5
May-48,7.2,8.9,1.9,4.5,11.6
Jun-48,599.3,191,179.4,125.1,216
Jul-48,1080.4,239.6,218.7,374.1,390.1
Aug-48,797.3,181.4,110.1,267.8,423.7
Sep-48,376.6,162,221.6,201.1,246.9
Oct-48,77.7,66.6,21.1,14.4,42.3
Nov-48,168.1,137.1,176.1,126.5,86.4
Dec-48,0,0.1,0,0,0
Jan-49,0.2,0,2.9,1.2,1.2
Feb-49,0,0,0.5,1.5,7.6
Mar-49,0.1,2,0.1,1,4
Apr-49,1.3,4.8,0.7,5.6,9.9
May-49,128.9,58.4,35.2,28.8,61.5
Jun-49,442.2,102,188.9,222.7,181.7
Jul-49,1147.3,201.3,189.5,412.9,381
Aug-49,594.7,174,89.8,266.2,412.3
Sep-49,782.3,323.1,369.1,323.5,280.3
Oct-49,108.3,82.2,32.3,134.8,159.8
Nov-49,8.4,5.7,5.2,0,0
Dec-49,0,0,0,0.1,0.2
Jan-50,0,0,0,0.1,0.4
Feb-50,0,0.2,11.9,27.3,40.1
Mar-50,0.2,1.5,4.1,14.9,50.9
Apr-50,0.2,5.9,0.4,0.7,1.3
May-50,21.3,23.2,7.1,5.6,10
Jun-50,364.1,59.5,67.6,84.6,172.4
Jul-50,1336.1,400.2,141.1,375,457.2
Aug-50,302.6,102.9,113.9,143.7,374.7
Sep-50,777.5,248.8,271,116.3,148.9
Oct-50,119.1,87.3,38.8,13.3,16.7
Nov-50,8.1,2.2,0,0.3,19.6
Dec-50,0,0.8,1.6,11.9,0
Jan-51,0,0.1,0.4,4.6,4.5
Feb-51,0,0,0,0.6,2.8
Mar-51,2.5,0.5,6.2,41.9,102.3
Apr-51,9.8,9.3,10.6,14.6,59.8
May-51,22.7,29.5,11.2,11.1,34.5
Jun-51,730.4,150.1,159.5,136.8,145.1
Jul-51,1114.7,250.2,271,348.8,338.4
Aug-51,507.6,136.3,101.3,318.6,459.4
Sep-51,129,71.7,89.3,123.1,166.5
Oct-51,296.3,128.9,78.4,81.5,96.8
Nov-51,36.3,20.1,3.5,0.6,1.5
Dec-51,0,0,0,0,0
Jan-52,0,0,0.2,0,1.2
Feb-52,0,1.9,18.8,10.6,20
Mar-52,0,0,0,4.2,18.8
Apr-52,2.8,8.9,3.3,10.8,18.2
May-52,23.5,18.9,21.7,2.5,23.4
Jun-52,729.4,131.2,95.4,98,120.8
Jul-52,1013.1,268.8,144.6,235.1,439.4
Aug-52,512.3,139.1,87.2,266.5,385.8
Sep-52,87.5,57.1,136.1,146,304
Oct-52,151.5,56.7,36.4,33.6,62.8
Nov-52,0,0,0,0,0
Dec-52,1.8,0.8,2.3,0.5,2
Jan-53,0,1.2,0.3,3.9,24.3
Feb-53,0,0,0,1.1,5.1
Mar-53,0,0.1,0.3,0,0.1
Apr-53,15.4,24.5,15.2,21.4,22.7
May-53,0,2,0.4,0.2,5.8
Jun-53,910.3,186.3,200.4,138.2,140.8
Jul-53,1321.9,216.5,217.9,299.4,421.3
Aug-53,713.3,220.2,160.6,449.9,483.6
Sep-53,210.5,126.8,208,173,209.1
Oct-53,156.1,116.1,88.1,50.7,55
Nov-53,0.2,0,0,0,2.4
Dec-53,0,0,0,0,0
Jan-54,0,2,0.4,0.3,2.7
Feb-54,2.4,0.4,0,0.6,2.2
Mar-54,3.5,16,15.5,11.4,4.4
Apr-54,7.2,6,5.6,4,11.7
May-54,3.9,15.8,5.2,1.1,6.5
Jun-54,581.5,158.5,181,132.4,114.9
Jul-54,1470.8,305.3,276,407.9,314
Aug-54,912.8,171.7,138.8,248.8,358.1
Sep-54,750.7,263,255.6,288.3,361.4
Oct-54,48.9,30.1,11.9,4.6,12.5
Nov-54,0.1,0,0,0.9,0
Dec-54,8.6,16.2,9.7,0.1,5.4
Jan-55,0.2,3.2,6.5,15.5,15.1
Feb-55,0,0,0,0.3,1.2
Mar-55,2.2,6.8,2.4,2.3,3.2
Apr-55,11.6,12.2,3.4,6.8,13.5
May-55,34.2,25.8,12.2,5,23.3
Jun-55,779.2,140.9,229.8,274.7,242.1
Jul-55,995.9,149.6,213.2,278.4,283.1
Aug-55,1299.8,254.3,364.7,371.8,406
Sep-55,463,218.9,208.6,244.6,276.6
Oct-55,297.1,159,109.3,169.1,174.2
Nov-55,14.2,10.4,1.2,0.2,2.4
Dec-55,0,0,0,0,0
Jan-56,0,1.5,1.2,1.3,2.2
Feb-56,0.3,0.2,1.9,1.9,13.9
Mar-56,0,1.1,0.1,0.8,7.1
Apr-56,5.8,11.3,4.1,0.5,3
May-56,176.4,91.2,78.4,52.8,68.4
Jun-56,780.2,111,154.1,248.7,278
Jul-56,1325.8,360.5,310,370.5,468.5
Aug-56,700.8,252,134.6,163.4,404.3
Sep-56,433.4,165.8,202.5,198,227.3
Oct-56,195,148,70.7,40.1,69.6
Nov-56,46,90.1,79.7,37.3,10.7
Dec-56,0,1.1,0,9.3,4
Jan-57,0,0.1,1.5,8.6,14.8
Feb-57,0,0,2.1,2.5,10.4
Mar-57,0,4.8,13.9,44.4,48.7
Apr-57,1.7,20.9,14.5,31.6,17
May-57,30.6,36.9,30,15.5,16.2
Jun-57,593.8,177.8,126.9,148.5,114.8
Jul-57,1175,196.4,255.1,303.8,449.7
Aug-57,1051.7,202.2,294.6,354.2,416.7
Sep-57,130.6,98.7,104.7,133.4,105.8
Oct-57,86.6,85.1,53.7,27.5,28.3
Nov-57,52.9,26.8,3.6,1,0
Dec-57,0.6,0.1,0,0,0
Jan-58,0.2,1.6,0.1,5.7,9.5
Feb-58,0.1,0,0,2,38.8
Mar-58,0.2,5.4,4.4,20.4,21.6
Apr-58,9,23.6,25.2,10.5,17.1
May-58,34.8,32.9,12.7,10.4,19.2
Jun-58,1044.5,101.9,92.2,102.7,101.2
Jul-58,1280.2,393.3,264.4,341.5,509.4
Aug-58,1177.9,296.6,456.1,354,376
Sep-58,383.7,112.1,79.8,220.3,265.8
Oct-58,54.8,57.4,41.2,68,133
Nov-58,14.7,29.2,48.3,36.5,29.3
Dec-58,0.2,0.1,0,0.1,0
Jan-59,0,2.4,1.5,13.6,32
Feb-59,0,0,0,1.2,3.3
Mar-59,0,0,0.1,0.4,0.2
Apr-59,6,16.8,9.5,11.8,3.6
May-59,36.2,39.3,13.2,6.2,15.5
Jun-59,750.1,174.7,173.6,178,180.4
Jul-59,1357.1,344.3,188.3,467.9,408.9
Aug-59,690.9,199,200,377.3,473.1
Sep-59,521.8,202.7,246.3,469.9,357.9
Oct-59,201.4,84.7,99.8,79.4,69
Nov-59,24.8,54.9,17,0.5,0.1
Dec-59,0.3,0.1,1,0.1,0.3
Jan-60,0,3.6,3.6,38.8,18
Feb-60,0,0,0,0,0.7
Mar-60,0,3,18.1,41,44.4
Apr-60,1.1,5.1,1,6.7,10.2
May-60,81,61.3,49.2,8.2,11.2
Jun-60,920.1,146.4,163.6,195.2,168.6
Jul-60,1140.9,235,136.6,378.5,412.1
Aug-60,501.8,138,66.8,199.9,441.5
Sep-60,285.1,229,206.8,114.8,145.4
Oct-60,82,44.9,78.5,78.5,111.9
Nov-60,15.3,18.8,14,1.1,0.4
Dec-60,0.5,0.8,0.1,2.4,0
Jan-61,0,0.3,0.9,1.1,2.5
Feb-61,5.2,0.1,0.1,5.7,44.1
Mar-61,0,0.5,5.6,4.5,5
Apr-61,2.3,9.8,6.7,5.3,10.9
May-61,182.2,104.2,35.7,21.4,16.1
Jun-61,738,163.5,170.8,152.7,377.4
Jul-61,1543.3,411.9,253.7,372.6,533.2
Aug-61,712.6,135,143.4,401.6,467.6
Sep-61,486.1,104.8,97,326.2,401.2
Oct-61,248.9,128,238.1,143.3,102.8
Nov-61,2.4,10,5.2,2.9,5.8
Dec-61,0,2.5,1.8,3.4,7.3
Jan-62,0.2,0.2,0.6,5.6,3.8
Feb-62,0,0.1,2.8,4.6,15.8
Mar-62,0.1,6.7,2.7,18.4,10.4
Apr-62,0.7,12.9,37.8,33.1,23.8
May-62,129.5,57.2,43.4,21.7,28
Jun-62,435.5,46.8,67.3,67.1,130.5
Jul-62,1355.1,287.5,164.7,364.3,371.6
Aug-62,880.4,164,192.2,267.3,276.1
Sep-62,525.9,199.9,304.7,267.2,210
Oct-62,48.8,51.9,41.4,8.3,26.3
Nov-62,12.8,23,33.5,30.5,2
Dec-62,96.2,48.8,54.6,64.5,26.4
Jan-63,0,0.8,0,0.3,0.4
Feb-63,0.1,4.3,6.2,10.5,5.4
Mar-63,0.1,14,15.5,12.9,8.9
Apr-63,1.1,12,7,14.8,44.8
May-63,7.6,23.3,13.5,19.5,28.2
Jun-63,594.5,138.6,228.4,204,160.8
Jul-63,1178.8,252.3,172.2,282.1,349.4
Aug-63,1414.7,268.7,380.4,397.9,387.7
Sep-63,306.3,72.7,82.8,123.9,258.8
Oct-63,91.9,93.5,92.4,80.1,91.2
Nov-63,11.7,19.1,2.7,1.7,1.2
Dec-63,0,0.6,0,0,0.3
Jan-64,0,0,0,0,1
Feb-64,0,0,0.2,2,21.9
Mar-64,0,4.1,5.1,3,3.9
Apr-64,0.9,6.2,1.5,1.3,6.5
May-64,5.2,7,1.3,0.6,4.5
Jun-64,690.3,139.8,120.3,166,269.2
Jul-64,908.3,238.9,246.5,259.5,371.6
Aug-64,1031.8,242.3,150.7,357.9,515.3
Sep-64,378.9,223.1,219.9,176.8,201.8
Oct-64,158,60,20.1,40.8,109.1
Nov-64,18.9,23.3,15,2.3,4.1
Dec-64,0.4,0.9,0,0.6,0
Jan-65,3.4,5.8,5.4,18.7,5.8
Feb-65,0,0.2,1.5,4.9,4.5
Mar-65,0,0.3,0,4.9,22.3
Apr-65,5.7,10.2,9.5,15.5,14.4
May-65,0.1,12.3,0.8,1.6,8.4
Jun-65,817.6,82.9,129.3,113.6,111.1
Jul-65,1393.7,380.7,218.7,262,310
Aug-65,608.8,200.3,180,181,208.3
Sep-65,147.5,54.8,69.4,139.6,251.8
Oct-65,8.9,10,5.9,1.3,4.9
Nov-65,2.2,4.6,0.4,0,0
Dec-65,83.7,28.5,10.4,0.5,0
Jan-66,0,1.9,18.9,16.1,20.9
Feb-66,0,0.5,0,1.1,0
Mar-66,0,1.4,10.4,10.5,2.2
Apr-66,0.2,2.1,10.5,7.9,16.3
May-66,64.7,81.5,45.8,30.7,19
Jun-66,370,83.8,63.1,84.8,267.8
Jul-66,1168.8,315,228.6,387.5,294
Aug-66,224.1,94,85.9,206.5,253.4
Sep-66,443.5,149,191.6,191.4,154.6
Oct-66,43.9,14.5,13,4.6,25.1
Nov-66,111.3,82.6,65.9,34.9,12.8
Dec-66,1.1,11.2,13.5,26.8,20.9
Jan-67,0,0,0,0.5,1.7
Feb-67,0,0.1,0,0,0
Mar-67,7.7,4.7,4,50,96.8
Apr-67,0.8,13.3,1,7.4,15.5
May-67,7.5,7.8,5.9,1.6,12.2
Jun-67,768.9,130.4,146,184.6,184.3
Jul-67,1109.2,367.4,224,406.8,397.9
Aug-67,416.9,139,104.1,244.8,508.3
Sep-67,317.1,146.7,136,101.6,188.5
Oct-67,109.6,43.1,26.4,8,9.2
Nov-67,0.7,2.1,0,1.1,0.4
Dec-67,14,58.6,112.4,121.8,57.6
Jan-68,0,1.6,5.8,14.6,25.6
Feb-68,0.3,3.6,23.8,23.9,26.1
Mar-68,0.1,9.4,32.2,36.6,16.3
Apr-68,6,11.2,11.3,15.4,19.5
May-68,1.5,2.5,0.7,0.7,4.5
Jun-68,556.9,95.4,94.2,104.8,176.2
Jul-68,1134.7,238.9,219,291.4,354.9
Aug-68,318.7,213.3,63.6,210.5,269.9
Sep-68,202.1,172.1,210.6,193,210.7
Oct-68,130.4,60.6,24.5,23,59.7
Nov-68,8.6,15.1,26.3,4.7,0.7
Dec-68,0,0.3,0.3,4.3,3.9
Jan-69,0,0.2,0,1.5,6
Feb-69,0,0,0,0,1.6
Mar-69,0,1.4,0.2,0.6,0.6
Apr-69,1.1,5.8,0.1,4,18.7
May-69,2.4,4,2.7,9.6,46.2
Jun-69,666.5,140.1,120.8,98.6,121.8
Jul-69,1282.2,307.1,222.6,371,442.4
Aug-69,527.1,248.3,148.3,200,291.4
Sep-69,586,234,277.1,281.5,211.4
Oct-69,37.9,20.1,14.7,5.4,18.5
Nov-69,23.2,22.3,38.1,19.4,6
Dec-69,0.9,0.9,0,1.3,7.9
Jan-70,0,1,8.4,15.9,12.1
Feb-70,0,0,0,1,11.9
Mar-70,0,0.6,2.8,18.3,44.9
Apr-70,1.5,17.9,7.5,4.2,18.9
May-70,74.5,39.1,30.2,17.5,23.2
Jun-70,963.3,195.4,215.1,304.1,237.9
Jul-70,993.8,200.1,103.9,211,453.2
Aug-70,1164.8,254.9,344.9,435.6,443.1
Sep-70,312.7,161.3,178.1,223.3,236.4
Oct-70,85.8,70.9,19.9,9.6,19.9
Nov-70,0,0,0,0,0
Dec-70,0.2,0,0,0,0
Jan-71,0,0,0.2,3.7,20.3
Feb-71,0,0,0.1,12.8,24.8
Mar-71,0,0.1,1.3,21.2,11.6
Apr-71,0.3,3.8,0.1,12.4,48.8
May-71,85.1,43.3,38.8,26.7,68.6
Jun-71,1011.9,155.6,83.2,193.6,384.1
Jul-71,650.8,124.9,24.3,124.3,354.6
Aug-71,602,204,220,259.2,398.8
Sep-71,362.6,185.6,131.5,119.5,127.9
Oct-71,40.4,56,108.4,108.9,89.6
Nov-71,0.9,0,0,0,4.7
Dec-71,0,0,0,0,0
Jan-72,0,0,0,0,0.1
Feb-72,0.1,0.2,0,1.1,19.2
Mar-72,0,0,0,0,1.2
Apr-72,0.6,4,0.1,3.8,15.2
May-72,10.7,13.8,3,3.4,6.2
Jun-72,662,90.4,115.1,139.8,123.9
Jul-72,731.6,195.1,41.9,197.7,319.4
Aug-72,293.9,99.3,85.3,280.8,392
Sep-72,138.8,88.1,65.3,60.7,232.4
Oct-72,8.5,7.3,4.2,20.9,49.2
Nov-72,26.8,21.6,28.4,28.5,36.3
Dec-72,0,0.1,3.8,4.2,3.9
Jan-73,0,0,0,1.7,3.8
Feb-73,0.4,3,0.7,5,10
Mar-73,0,1.8,0,0.3,2.6
Apr-73,0,3.2,3.8,2.3,3.1
May-73,3.1,10.1,0.6,1.5,6.9
Jun-73,455.9,124.7,112.3,75.1,97.9
Jul-73,922.1,312,203.1,428.5,429.3
Aug-73,910.6,243.9,334.9,346.4,401.9
Sep-73,437.4,172.8,115.6,136.4,286.5
Oct-73,103.6,104.8,99.3,163.4,223.3
Nov-73,2.9,3.9,1,1.4,2
Dec-73,0.2,0.4,0,0.5,0
Jan-74,0.7,0,0,0,0
Feb-74,0,0.1,0.4,4.8,6.6
Mar-74,0,2.5,0.4,1.2,2.5
Apr-74,6.8,14.6,2.9,0.5,1.5
May-74,73.9,60.9,36,12.6,9.2
Jun-74,508.2,77.5,98.4,93.2,115.6
Jul-74,1133,217.9,100.7,211,253.4
Aug-74,774.4,184.7,123.2,281.4,353.3
Sep-74,351.1,201.5,154.4,68.1,100.4
Oct-74,238.6,152,134.1,162.6,97.3
Nov-74,0,0.1,0,5.4,11.3
Dec-74,0,0,0,0,0
Jan-75,0,0.4,2.1,3.5,9.7
Feb-75,0.1,1.1,8.3,22.4,7.4
Mar-75,0,0.1,7.3,7,11.3
Apr-75,1,1,0,1.1,3.7
May-75,13.6,15.4,11.3,6.4,8.7
Jun-75,856.9,165.6,117.2,264.3,202.5
Jul-75,1027,228,249,321.3,403.3
Aug-75,848,223.2,231.7,316,421.3
Sep-75,556,242.8,309.9,288.9,265.7
Oct-75,192.7,158.3,113.9,92.8,140.8
Nov-75,20.2,4.8,0.1,0.3,0.9
Dec-75,0,0,0,0,0
Jan-76,0,0.1,0,2.1,0.4
Feb-76,0,0,0.2,0.1,4.1
Mar-76,1.6,6,3.2,4.7,1.1
Apr-76,0.4,3.4,7.4,11.5,15.9
May-76,4.5,3.3,2.9,4.6,12.6
Jun-76,635.1,283.6,92.1,90.8,100
Jul-76,1279.2,315.6,213,386,569
Aug-76,690.1,240.8,195.6,260.7,492.1
Sep-76,360.7,87.7,63,174.7,174.5
Oct-76,20.3,14.3,3.8,0.9,2.8
Nov-76,71,68.9,39.4,38.5,6.7
Dec-76,0,2.2,2.4,0.2,0.2
Jan-77,0,0,0,0,4.1
Feb-77,0,0.1,1.5,2.1,4.9
Mar-77,0.8,7.1,6,3.7,2.2
Apr-77,1.3,9.9,4.6,8.9,19
May-77,10.3,31.3,5.4,15,33.7
Jun-77,583,209,126,169.7,242.4
Jul-77,1384.6,262.5,155.4,283.9,509.3
Aug-77,580.5,150.4,149.3,340.8,386.3
Sep-77,386.9,94.6,116.8,131.7,196.5
Oct-77,77,64.4,66.4,37.8,19.9
Nov-77,78.8,112.1,129.9,71.2,40.9
Dec-77,0.2,5.7,6.5,3.2,6.1
Jan-78,0,0.7,5.7,13.3,4.1
Feb-78,0,10.8,18.8,24.4,13.7
Mar-78,0,4.6,9.6,18.6,18.9
Apr-78,8.3,22.2,12,10.1,12.8
May-78,86.6,33.1,19.1,1.9,3.7
Jun-78,946.2,174.2,212.4,228,257
Jul-78,907.2,179.6,215,399.3,377.7
Aug-78,575.4,211.8,105.3,430,470.8
Sep-78,243,124.1,80.6,46.2,176
Oct-78,67.2,57,70.5,16.4,11.5
Nov-78,48.8,63.5,34.6,20.7,11.9
Dec-78,2.8,2.1,1.2,40.5,12.2
Jan-79,0,3.5,3.4,30.4,20.7
Feb-79,0.7,1.8,11.8,59.7,24.7
Mar-79,0.1,5.3,5.6,1.7,0.6
Apr-79,0,1,1.4,0.5,4.4
May-79,0.3,7.1,18.1,12.9,4.4
Jun-79,653.1,129.7,125.5,245.6,176.3
Jul-79,797.2,194.5,163.1,218.2,209.8
Aug-79,687.2,299,132.9,323.2,267.2
Sep-79,266.5,249.9,236.5,143.3,155.5
Oct-79,26.8,46,17.7,6.3,26.1
Nov-79,77.3,88.4,90.6,34.9,11.3
Dec-79,0,0.5,0.8,10.6,3.6
Jan-80,0,0,0.1,15.3,5.3
Feb-80,0,0,0,3.2,2.3
Mar-80,0,1.5,4.7,1,7.9
Apr-80,3.5,16.1,4.6,2.9,7.2
May-80,2.9,8.6,2.3,0.5,15.5
Jun-80,877.7,279.2,223,253.6,273
Jul-80,749.9,197.4,114.4,246.3,426.6
Aug-80,851.8,286.6,325.1,361.8,362.2
Sep-80,166.4,89.2,113.6,131.4,369.4
Oct-80,20.7,14.7,1.1,2,21.4
Nov-80,26.1,29.8,3.6,0.4,0
Dec-80,25.2,16.4,20.3,24.1,4.6
Jan-81,0.6,10.5,27.3,20.2,20.7
Feb-81,0,0,0.7,0.9,1.6
Mar-81,0,3.7,11,25.4,20.7
Apr-81,0.1,6.8,1.6,3.6,4
May-81,4.2,7.7,12.7,12.6,15.6
Jun-81,773.9,135.9,100.5,173.1,127.5
Jul-81,1073,248.9,122.3,302.5,356.2
Aug-81,708.6,188.6,127.3,352.6,409.1
Sep-81,480.6,253.7,285.1,294.5,237.2
Oct-81,59.1,56.8,68.7,17.6,20.7
Nov-81,24.5,11,11.2,1.8,0.9
Dec-81,0.1,6.2,18.3,13.8,2.2
Jan-82,0,2.1,10,45.7,27.2
Feb-82,0,0.2,0.6,10.6,18.9
Mar-82,0,0.2,5.1,6,22.5
Apr-82,0,6.3,7.8,5.2,11.5
May-82,14.5,33.8,15.9,15.3,25
Jun-82,558.4,114.6,99.6,100.6,133.5
Jul-82,987.1,187.7,170.1,256.4,251.8
Aug-82,810.8,186.6,84.8,206.8,501.1
Sep-82,216.3,119.5,172,144.2,119.1
Oct-82,42.1,55.2,43.6,49.2,75.2
Nov-82,69.6,45.8,27,16.1,10.9
Dec-82,0,0,0,0,0.6
Jan-83,0,0.1,0,1.6,0.3
Feb-83,0,1.4,0,7.4,24.9
Mar-83,0,0,0.3,1.9,1.5
Apr-83,0.3,0,0.3,1.5,20.4
May-83,0.4,2.8,6,6.7,28.4
Jun-83,655.3,125.3,96.8,156.4,155.7
Jul-83,1073.2,218.1,231.9,327.9,324.2
Aug-83,1331.2,259.4,315.4,376.7,417.6
Sep-83,638.8,263,422.3,289.8,330.9
Oct-83,102.4,43.2,106.8,58.4,58.2
Nov-83,9.7,2.5,1,0,0.6
Dec-83,3.2,2.8,6.9,12.2,9.4
Jan-84,0,0.6,3.1,26.9,35.3
Feb-84,0.2,11.2,9.5,18.6,12.4
Mar-84,0.1,3.7,0.4,0.4,0.1
Apr-84,0.9,4.6,0.8,3.2,24.9
May-84,0.3,0.6,0,0.4,15.5
Jun-84,728,109.6,75.7,105.6,291.6
Jul-84,1090.5,260.8,168.5,258.6,322
Aug-84,421.4,140,59.8,271,400.2
Sep-84,220.5,133.2,120.1,48.7,99.8
Oct-84,118.7,109.1,106.2,76.6,52.7
Nov-84,2.9,4.7,5.4,0,0.2
Dec-84,0.3,1.7,3.3,0.6,0
Jan-85,0,2.6,7.1,22.5,33.2
Feb-85,0,0.2,0,1.1,9.4
Mar-85,0,2.3,6.2,1,0.4
Apr-85,0.4,9.1,10.5,7.3,8.7
May-85,23.3,12.3,7.6,9.7,11.9
Jun-85,1000,118.7,160.8,196.8,137.2
Jul-85,921.3,189.5,148.9,271.7,398.9
Aug-85,663.1,145.1,63.9,181.9,346
Sep-85,153.1,63.5,82.3,61.9,214.6
Oct-85,204.8,107.3,86,120.4,77.2
Nov-85,2.5,5.4,0.7,0,0
Dec-85,0,0,1.5,2.6,0
Jan-86,0,1.6,9.6,11.7,23.3
Feb-86,0,2.7,9.6,40.5,45.7
Mar-86,0,0.3,1.3,6.4,10
Apr-86,0.1,2.4,2.7,4.2,11.5
May-86,1,8.6,7.3,6.5,8.7
Jun-86,777.2,200.8,132.3,232.8,361.9
Jul-86,543.2,126.1,140.2,353.4,367.9
Aug-86,670.9,157.9,127.1,382.2,321
Sep-86,65,101,104,61.2,98.7
Oct-86,15.6,8.9,6.6,12.7,61.9
Nov-86,53.6,19.4,10.1,17.2,33.9
Dec-86,1,14.6,12.1,28.3,24.1
Jan-87,0,1.7,7.9,24.3,9.2
Feb-87,0,3.9,3.6,6.1,9.3
Mar-87,0,2.5,0.8,7.5,7.9
Apr-87,0.6,4,2,0.7,2.4
May-87,9,36.6,20.9,9.8,22.1
Jun-87,612,130.3,155.1,117,81
Jul-87,832.2,166.7,132,204.7,409.9
Aug-87,835.6,226.9,220.2,283.7,264.8
Sep-87,149.3,63.5,46.1,37.7,214
Oct-87,166.8,98.8,145.7,72.1,82.5
Nov-87,20.2,38,41.1,55.4,37.5
Dec-87,9.3,34.6,10.8,3.6,2.2
Jan-88,0,0,0,0.7,0.7
Feb-88,0,0.1,0,7.9,25.1
Mar-88,0,0.1,0.2,3.8,6.2
Apr-88,4.3,18.8,7.2,12.5,22.7
May-88,1.3,7.6,4.2,4.2,8.8
Jun-88,506.1,111,169.7,186.8,219.7
Jul-88,1432.1,314.1,301.6,485,375
Aug-88,664.4,165.7,245.4,286.6,351.1
Sep-88,617.9,324.8,411.9,230.1,167.8
Oct-88,66.9,27.5,18.5,86.4,28.7
Nov-88,0,1.9,7.7,4.3,0.4
Dec-88,0,4.9,3.5,0.3,0.1
Jan-89,0,0,0,0,0.1
Feb-89,0,0,0,0,0
Mar-89,0.6,16.3,42.3,23.6,10.5
Apr-89,1,3.3,2.8,0.1,1
May-89,4,11.8,6.4,2,8.9
Jun-89,733.1,153.5,237.9,236.5,226.8
Jul-89,943,271.9,336.2,240.6,372.1
Aug-89,704.9,152.1,245.7,330.1,353.7
Sep-89,300.5,181.6,170,118,173.9
Oct-89,80.7,22.9,17.6,15.2,10.4
Nov-89,3.6,1.4,0.5,1.6,5.2
Dec-89,0,1.7,9,30.1,24.6
Jan-90,0,2.6,2.9,3.5,0.5
Feb-90,0,0.2,0,6.8,18.5
Mar-90,0.1,0,0,8.6,9.2
Apr-90,0,0.2,0,3.9,7.4
May-90,193.9,78.2,142.1,71.3,122.3
Jun-90,802.1,150.5,221,303.2,293.6
Jul-90,873.7,227.3,131,326.3,393.9
Aug-90,1164.2,294.6,365.9,507.3,375.9
Sep-90,323.2,94.9,104.2,121.5,268.2
Oct-90,190,154.9,223.1,143.7,143.6
Nov-90,20.8,17.2,5,1.6,9.4
Dec-90,0,1.9,2.9,7.1,1.4
Jan-91,0,0,0.3,6.3,10.6
Feb-91,0,0.1,0.4,1.6,1.6
Mar-91,0,0.3,0.4,4.6,9.2
Apr-91,6.4,12.2,9.8,4.7,3.7
May-91,14.7,19.2,9.4,3,4.7
Jun-91,759.2,293.8,250.1,168.9,143.8
Jul-91,1461.4,318.1,222.4,348,446.2
Aug-91,598.8,143.9,49.7,255.4,411.2
Sep-91,92.7,67.3,38.5,23,135.1
Oct-91,20.3,21,9.1,9.6,37.9
Nov-91,0.8,4.7,10.9,12.1,9.3
Dec-91,0.3,0.1,0,1.5,7.6
Jan-92,0,0,0,0.2,0.1
Feb-92,0,0,0,0.5,0.3
Mar-92,0,0,0,0.4,0.5
Apr-92,0,2.1,3.5,2.9,1.9
May-92,6.2,5.1,6.7,5.7,5.4
Jun-92,493,146.9,217.9,167.9,137.1
Jul-92,822.9,190.6,79.4,241.3,401.3
Aug-92,1093.1,248.6,203,565.5,419.1
Sep-92,343.4,132.1,140.4,116.1,180
Oct-92,79,55.6,52.2,35.9,7.9
Nov-92,2.8,10.1,23.5,12.4,3
Dec-92,0,0,0,0,0
Jan-93,0,0,0,0.5,0
Feb-93,0,0.1,1,3.6,5.3
Mar-93,0.6,3,5.6,17.9,7.1
Apr-93,0.1,5.7,1.7,2.8,4.7
May-93,11.4,11.5,9.1,5,10
Jun-93,587.7,147.6,87.5,145.8,167.2
Jul-93,1394.1,289.2,216.3,365.6,351
Aug-93,648.7,162.4,166.2,222,299.5
Sep-93,597.2,162.6,121.8,171.3,298.6
Oct-93,227.6,192.8,136.3,77.7,60.1
Nov-93,9.4,10.7,5.8,0.5,1.9
Dec-93,4,34.3,55.1,10.4,0
Jan-94,1.3,3.1,3.2,10,3.5
Feb-94,0,0.1,0.1,9.8,8.4
Mar-94,0,0.6,0,0.1,0
Apr-94,12.5,21.8,14.9,9.6,5.2
May-94,11.7,23.8,14.3,2.2,9.1
Jun-94,784.8,253.2,110.6,228.6,413.4
Jul-94,1168.5,332.9,117.1,508.2,575.7
Aug-94,654.4,188.4,162.8,343.3,447.7
Sep-94,406.5,118.9,63.4,225.4,212
Oct-94,137.9,66.2,64.3,83.3,76.9
Nov-94,2.2,12.6,32.9,6.2,2.7
Dec-94,0,0,0,0.4,0
Jan-95,3.5,20,46.9,49.8,43.5
Feb-95,0,0.2,0.2,5.5,2.6
Mar-95,0,5.4,23.6,45.4,24
Apr-95,3.3,6.7,11.4,8.8,5.2
May-95,15.3,24,17.6,8,24.9
Jun-95,345.9,63.6,135.5,156.1,119.5
Jul-95,1171.2,253.1,186,335.8,478.3
Aug-95,606.5,82.7,96,165.9,356
Sep-95,419.5,194.3,137.9,201.3,137.7
Oct-95,196.5,121.5,153.2,100.5,69.6
Nov-95,4.4,4.9,1.2,0.1,11.2
Dec-95,0,0,0,0.3,8.2
Jan-96,0.1,0.1,0.1,2.2,11.1
Feb-96,0,0,0,3.7,5.6
Mar-96,0,0.1,0.3,3.6,3.6
Apr-96,0.6,4.1,10.6,9.3,4.8
